"Category","Brand_Description","Price","Review_Count","Rating"
"Scanners"," 35mm Slide Viewer, Film Negative and Slide Viewer with 3X Magnification and LED Lighted Illuminated Viewing, USB Powered  4.2 out of 5 stars 495  500+ bought in past month$26.99$26.99 List: $36.99$36.9911% coupon applied at checkoutSave 11%  with coupon  FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 More Buying Choices$18.74(5 used & new offers)","26.","495","4.2 out of 5 stars"
"Scanners"," Plustek Mobile Scanner S410 Plus - Portable Sheet-Fed Document Scanner - for Windows 7/8 / 10/11, Featuring Button-Free Scanning with Included OCR Software  2.0 out of 5 stars 1  100+ bought in past month$89.00$89.00 List: $109.00$109.00 FREE delivery Mon, Jan 29 Only 9 left in stock - order soon.","89.","1","2.0 out of 5 stars"
"Scanners"," Wolverine Reel Converter Scanner to Convert Film into Digital Videos. Frame by Frame Scanning to Convert 3 inch and 5 inch 8mm Super 8 Film reels into 720P Digital  4.2 out of 5 stars 1,356  50+ bought in past month$289.00$289.00 FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 More Buying Choices$199.99(7 used & new offers)","289.","1,356","4.2 out of 5 stars"
"Scanners"," 35 mm Slide Viewer Illuminated Slide Projector for for 2X2 & 35mm Photos & Film  4.3 out of 5 stars 245  200+ bought in past month$16.18$16.18 List: $29.99$29.99FREE delivery Fri, Jan 26 Or fastest delivery Jan 24 - 25 ","16.","245","4.3 out of 5 stars"
"Scanners"," Eyesen Slide Viewer Light Box, Ultra-Thin A4 USB Powered Light Scanner for Photo Slide and Film Negative Scanning, Christmas Gift, Tattoo Drawing, Artist Sketching  4.1 out of 5 stars 21  200+ bought in past month$19.98$19.9810% coupon applied at checkoutSave 10%  with coupon  FREE delivery Mon, Jan 29 on $35 of items shipped by Amazon","19.","21","4.1 out of 5 stars"
"Scanners"," Slide & Negative Scanner Digital Film Scanner with Large 5"" LCD Screen,Negatives Film and Slide Digitizer Convert Color & B&W Negatives & Slides 35mm, 126, 110 Film & Super 8 Slide to 22MP JPEGs  3.8 out of 5 stars 29  50+ bought in past month$129.99$129.99$30.00 coupon applied at checkoutSave $30.00  with coupon  FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 ","129.","29","3.8 out of 5 stars"
"Scanners"," Ambir ImageScan Pro 687 Duplex Card Scanner for Windows PC  4.4 out of 5 stars 18  $297.75$297.75 List: $329.95$329.95 FREE delivery Tue, Jan 30 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more More Buying Choices$279.99(7 used & new offers)","297.","18","4.4 out of 5 stars"
"Scanners"," 35 mm Film & Slide Viewer, 2X LED Illuminated Viewing Slide Projector for Old Slides and 35mm Film Negatives(2 AAA Batteries Included)  4.8 out of 5 stars 10  100+ bought in past month$18.99$18.99 Typical: $19.95$19.9511% coupon applied at checkoutSave 11%  with coupon  FREE delivery Mon, Jan 29 on $35 of items shipped by Amazon","18.","10","4.8 out of 5 stars"
"Scanners"," Koncept Fujitsu FI-6130 Document Scanner Bundle - 1 Year Warranty - with 24V AC Adapter, USB 2.0 Cable & Microfiber Cleaning Cloth (Renewed)  $181.95$181.95 FREE delivery Sat, Jan 27 Or fastest delivery Thu, Jan 25 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","181.","Small Business",""
"Scanners"," Plustek PS188 High Speed Double-Sided Color Document Scanner, with Automatic Document Feeder (ADF), 30 Pages Per Minute, Support Windows 7/8/10/11  2.3 out of 5 stars 3  $249.00$249.00 FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 ","249.","3","2.3 out of 5 stars"
"Scanners"," Kodak 1015189 Alaris S2080w Shtfedscan 80ppm  5.0 out of 5 stars 6  $1,440.00$1,440.00FREE delivery Jan 25 - 29 Or fastest delivery Jan 24 - 26 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) EPEATMore Buying Choices$1,099.99(16 used & new offers)","1,440.","6","5.0 out of 5 stars"
"Scanners"," Brother ScanNCut Mat CAMATS12, 12"" x 12"" Scanning Mat, Non-Tack Mat to Scan Custom Designs, Accessory for ScanNCut Cutting Machine  4.4 out of 5 stars 766  50+ bought in past month$19.99$19.99 List: $35.99$35.99 FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 More Buying Choices$15.43(16 used & new offers)","19.","766","4.4 out of 5 stars"
"Scanners"," Digital Film & Slide Scanner Slide N SCAN Film Converts 35mm,126,110 Super 8 & 8mm Film Negatives & Slides Film Scanner to JPEG with a 3.5"" LCD  $74.99$74.9910% coupon applied at checkoutSave 10%  with coupon  FREE delivery Tue, Jan 30 Only 8 left in stock - order soon.Price may vary by color","74.","Save 10%",""
"Scanners"," Epson DS-530 Color Duplex Document Scanner, 300 dpi Optical, 35 ppm Speed, 50 Sheets Capacity, SuperSpeed USB 3.0 - Refurbished  $329.00$329.00 FREE delivery Wed, Jan 24 More Buying Choices$225.00(4 used & new offers)","329.","More Buying Choices",""
"Scanners"," 488 Duplex Document Scanner (DP488)  3.9 out of 5 stars 15  $248.00$248.00 FREE delivery Mon, Jan 29 Only 13 left in stock - order soon.Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","248.","15","3.9 out of 5 stars"
"Scanners"," Sigma Lite 4"" Non-LCD Signature Pad with Software  3.6 out of 5 stars 11  $119.95$119.95 FREE delivery Mon, Jan 29 ","119.","11","3.6 out of 5 stars"
"Scanners"," 35mm Slide and Film Viewer, 2X Magnification Negative Viewer, Desk Top LED Lighted Illuminated Viewing Old Slides (2 AAA Batteries Included)  4.0 out of 5 stars 8  $18.99$18.9910% coupon applied at checkoutSave 10%  with coupon  FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 ","18.","8","4.0 out of 5 stars"
"Scanners"," Scanner Brake Pick Roller Fi6130 6225 6130Z 6230 6140 6240 6120 Fi-6130 Fi-6225 Fi-6130Z Fi-6230 Fi-6140 Fi-6240 Fi-6120 Parts No :PA03540-0001 PA03540-0002  4.1 out of 5 stars 91  $20.00$20.00 FREE delivery Mon, Jan 29 on $35 of items shipped by AmazonPrice may vary by color","20.","91","4.1 out of 5 stars"
"Scanners"," Canon ImageFORMULA DR-6010C Office Document Scanner  3.7 out of 5 stars 29  $2,237.00$2,237.00FREE delivery Wed, Jan 24 Only 5 left in stock - order soon.More Buying Choices$148.99(37 used & new offers)","2,237.","29","3.7 out of 5 stars"
"Scanners"," K2-H80B50 Card Reader Cleaning Cards - Flat Cards (50)  4.2 out of 5 stars 123  $26.99$26.99 List: $29.99$29.99 FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 More Buying Choices$26.90(11 new offers)","26.","123","4.2 out of 5 stars"
"Scanners"," Sigma 4"" Monochrome w/Backlight Signature Pad with Software  3.9 out of 5 stars 12  $199.95$199.95 FREE delivery Mon, Jan 29 ","199.","12","3.9 out of 5 stars"
"Scanners"," – Document and Photo Scanning Stand – Phones & Tablets. Adjustable, Precise Image Alignment. iPhone Scanner Stand. Accurate Text Recognition (OCR)  3.8 out of 5 stars 159  $49.95$49.95FREE delivery","49.","159","3.8 out of 5 stars"
"Scanners"," Check Scanner Cleaning Card (5)  4.5 out of 5 stars 144  $10.99$10.99 FREE delivery Mon, Jan 29 on $35 of items shipped by Amazon","10.","144","4.5 out of 5 stars"
"Scanners"," Portable Document Scanner, 900DPI Handheld Portable Scanner Image Scanner Scanning Wand A4 Photo Mobile Scanner Handy Scan, JPG/PDF Format Wireless Scanner with 16G SD Card  $52.99$52.99Save 5% on 2 select item(s) FREE delivery Mon, Jan 29 Only 3 left in stock - order soon.","52.","Only 3 left in stock - order soon.",""
